Validation Accuracy	Validation Loss	Training Accuracy	Training Loss
0.96	207851700.0	1.0	2334869.0
0.96	207837470.0	1.0	2334293.0
0.96	207823170.0	1.0	2333717.0
0.96	207809060.0	1.0	2333141.0
0.96	207794960.0	1.0	2332566.5
0.96	207780400.0	1.0	2331991.0
0.96	207765970.0	1.0	2331415.0
0.96	207752140.0	1.0	2330845.2
0.96	207737700.0	1.0	2330269.8
0.96	207723250.0	1.0	2329693.8
0.96	207709010.0	1.0	2329119.2
0.96	207694990.0	1.0	2328544.2
0.96	207680180.0	1.0	2327968.2
0.96	207665920.0	1.0	2327392.8
0.96	207651790.0	1.0	2326818.8
0.96	207637580.0	1.0	2326249.5
0.96	207622980.0	1.0	2325675.5
0.96	207608700.0	1.0	2325108.2
0.96	207594420.0	1.0	2324534.2
0.96	207579760.0	1.0	2323965.2
0.96	207565100.0	1.0	2323391.2
0.96	207551230.0	1.0	2322816.2
0.96	207536590.0	1.0	2322242.2
0.96	207521890.0	1.0	2321673.5
0.96	207507710.0	1.0	2321099.8
0.96	207493310.0	1.0	2320534.5
0.96	207479040.0	1.0	2319965.2
0.96	207464340.0	1.0	2319391.8
0.96	207449890.0	1.0	2318818.2
0.96	207435360.0	1.0	2318249.5
0.96	207420830.0	1.0	2317684.2
0.96	207406130.0	1.0	2317111.0
0.96	207391550.0	1.0	2316543.5
0.96	207377280.0	1.0	2315970.2
0.96	207362740.0	1.0	2315401.8
0.96	207348220.0	1.0	2314836.5
0.96	207333500.0	1.0	2314269.0
0.96	207318880.0	1.0	2313695.8
0.96	207304290.0	1.0	2313123.0
0.96	207289950.0	1.0	2312556.0
0.96	207275200.0	1.0	2311991.0
0.96	207260430.0	1.0	2311424.0
0.96	207246110.0	1.0	2310851.2
0.96	207231180.0	1.0	2310292.0
0.96	207216850.0	1.0	2309725.0
0.96	207202060.0	1.0	2309152.2
0.96	207187090.0	1.0	2308585.5
0.96	207172850.0	1.0	2308022.2
0.96	207157810.0	1.0	2307455.5
0.96	207143410.0	1.0	2306882.5
0.96	207128340.0	1.0	2306324.0
0.96	207113620.0	1.0	2305757.2
0.96	207099120.0	1.0	2305184.8
0.96	207084350.0	1.0	2304619.2
0.96	207069780.0	1.0	2304060.8
0.96	207054750.0	1.0	2303488.8
0.96	207039980.0	1.0	2302923.8
0.96	207025360.0	1.0	2302365.0
0.96	207010300.0	1.0	2301794.2
0.96	206995740.0	1.0	2301236.0
0.96	206980560.0	1.0	2300669.8
0.96	206965970.0	1.0	2300099.2
0.96	206951120.0	1.0	2299540.8
0.96	206936110.0	1.0	2298975.8
0.96	206921310.0	1.0	2298409.2
0.96	206906610.0	1.0	2297846.8
0.96	206891310.0	1.0	2297280.8
0.96	206876540.0	1.0	2296716.0
0.96	206861660.0	1.0	2296159.2
0.96	206846980.0	1.0	2295593.0
0.96	206831900.0	1.0	2295030.8
0.96	206816740.0	1.0	2294465.0
0.96	206802140.0	1.0	2293908.0
0.96	206787170.0	1.0	2293343.8
0.96	206771900.0	1.0	2292779.2
0.96	206757150.0	1.0	2292221.5
0.96	206742300.0	1.0	2291651.2
0.96	206727250.0	1.0	2291095.0
0.96	206711820.0	1.0	2290531.0
0.96	206697220.0	1.0	2289972.8
0.96	206682320.0	1.0	2289408.8
0.96	206667020.0	1.0	2288852.2
0.96	206651940.0	1.0	2288288.2
0.96	206636910.0	1.0	2287732.0
0.96	206622060.0	1.0	2287168.2
0.96	206606780.0	1.0	2286612.0
0.96	206591730.0	1.0	2286048.2
0.96	206576560.0	1.0	2285492.0
0.96	206561230.0	1.0	2284928.5
0.96	206546260.0	1.0	2284372.2
0.96	206531060.0	1.0	2283808.2
0.96	206516160.0	1.0	2283252.8
0.96	206500750.0	1.0	2282690.2
0.96	206485570.0	1.0	2282134.2
0.96	206470560.0	1.0	2281571.0
0.96	206455400.0	1.0	2281021.0
0.96	206440300.0	1.0	2280459.2
0.96	206425090.0	1.0	2279903.8
0.96	206409580.0	1.0	2279339.8
0.96	206394380.0	1.0	2278784.2
0.96	206379180.0	1.0	2278228.8
0.96	206364060.0	1.0	2277666.8
